RESPID,Willing,Q4,Registered,Unregistered_but_willing,Q14B,Q14C,Q14D,Q6A,Q6A1A,Q6A1B,Q6A1C,Q6A1D,Q6A1E,Q6A1F,Q6A1G,Q6BB,Q6BC,Q6BDA,Q6BDB,Q6BDC,Belief_body,Q12B,Q14FA,Q14G,Q15A,Q15B,Q15C,Q15D,Belief_Minorities,HU_Q16A,Q16B,HU_Q16B,Q16C,HU_Q16C,Belief_Costs,HU_Q16D,Q16E,HU_Q16E,Belief_Need,HU_Q16F,Belief_Doctors,HU_Q16G,Q16H,HU_Q16H,Belief_Undeserving,HU_Q16I,Q16J,HU_Q16J,Belief_Fair,HU_Q16K,Q16AA,Q17C,Q18A,Q18B,Q22A,Q22B,Q22C,Q22D,Q22E,Q22F,Q23A,Q23B,Q23C,Q29,,Q30,D1,D3,D4A,D12,D13,Coverage,D15,Income,Urban,Sex,AgeCat,EduCat,D4Married,D7Healthcare,D9LowIncome,Hispanic,RaceCat,RaceCALC,Region,Q4Q13UnregSupporter,Devout,Religion,DevReligion,CallGroup,Over50,Q23Any,Q26A2cat,Q26B2cat,Q1_miss,Q1_nomiss
100016,1,2,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,3,1,1,2,4,2,4,4,5,N/A,4,0,2,1,5,N/A,2,1,2,1,2,1,1,1,5,N/A,4,0,5,N/A,N/A,2,3,3,5,5,2,4,3,2,2,2,2,1,,1,1,5,2,1,6,1,3,10,0,1,4,3,1,0,0,0,1,1,3,0,1,1,1,1,1,0,N/A,N/A,2,2
100037,0,4,2,4,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,1,1,1,2,1,1,2,5,4,0,4,0,4,0,4,0,1,1,1,1,4,0,1,1,4,0,1,1,1,1,N/A,1,3,3,4,1,1,1,4,1,4,2,2,1,,1,2,2,2,1,1,1,1,3,1,2,3,1,1,0,1,0,1,1,3,N/A,1,1,1,2,1,0,N/A,8,2,2
100039,1,2,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,3,1,1,2,1,1,2,4,2,1,3,0,5,N/A,5,N/A,1,1,1,1,4,0,1,1,4,0,1,1,1,1,1,2,1,1,3,1,3,4,4,1,2,2,2,9,,3,2,6,1,1,1,1,1,5,1,2,1,4,0,1,0,0,1,1,4,0,0,9,0,2,0,0,N/A,N/A,2,2
100043,1,1,2,2,1,N/A,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,1,1,2,2,1,2,3,3,0,4,0,3,0,3,0,1,1,1,1,4,0,1,1,4,0,1,1,2,1,N/A,2,3,3,3,1,4,4,4,1,2,1,2,2,,1,1,4,2,1,1,1,1,6,N/A,1,2,2,1,0,0,0,1,1,4,1,1,2,2,2,0,1,N/A,N/A,2,2
100053,0,3,2,4,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,2,1,2,2,1,1,1,4,1,1,2,1,1,1,4,0,2,1,1,1,4,0,4,0,2,1,4,0,4,0,2,2,3,3,3,3,3,3,3,3,2,2,2,12,,5,1,5,2,1,2,1,2,5,0,1,3,3,1,0,0,0,1,1,3,N/A,0,12,0,1,1,0,N/A,N/A,1,1
100073,1,2,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,4,1,1,2,3,1,2,3,3,0,3,0,4,0,5,N/A,4,0,2,1,3,0,1,1,4,0,1,1,5,N/A,N/A,2,3,1,3,2,3,4,4,2,2,2,2,3,,1,1,3,2,1,1,1,1,8,1,1,3,2,1,0,0,0,1,1,2,0,1,3,3,2,1,0,N/A,N/A,2,2
100080,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,5,1,1,2,1,1,2,4,5,N/A,4,0,5,N/A,5,N/A,1,1,5,N/A,4,0,1,1,4,0,1,1,2,1,N/A,2,1,1,1,1,4,4,2,5,1,2,2,11,,2,1,5,2,1,2,1,1,9,1,1,2,3,1,0,0,0,1,1,1,0,0,11,0,2,0,1,N/A,N/A,2,2
100094,0,2,2,3,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2,N/A,N/A,N/A,N/A,1,1,1,2,3,2,3,4,5,N/A,1,1,4,0,1,1,3,0,5,N/A,1,1,1,1,5,N/A,3,0,5,N/A,N/A,1,2,2,4,4,3,3,1,1,2,2,2,9,,3,1,4,2,1,1,1,1,4,N/A,1,2,2,1,0,0,0,1,1,4,1,0,9,0,1,0,0,N/A,N/A,2,2
100111,1,2,2,2,2,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,1,2,2,2,2,4,4,2,1,4,0,2,1,2,1,2,1,1,1,2,1,1,1,4,0,2,1,3,0,1,3,3,3,4,3,2,4,3,1,2,1,2,11,,1,2,6,4,2,4,1,2,11,1,2,2,4,0,0,0,1,3,1,1,1,1,11,11,1,0,1,N/A,N/A,2,2
100116,1,1,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,4,2,1,2,2,1,2,4,5,N/A,1,1,3,0,5,N/A,1,1,5,N/A,5,N/A,1,1,5,N/A,1,1,5,N/A,N/A,2,1,1,1,5,1,4,4,1,2,2,2,13,,2,1,6,2,1,6,1,1,8,N/A,1,3,4,1,0,0,0,1,1,4,0,0,99,0,2,1,0,N/A,N/A,1,1
